ts_utc,date_utc,time_utc,volume,range_pips
2020-11-04 00:00:00+0000,2020-11-04,00:00,3643.570000000002,30.3
2020-11-04 00:55:00+0000,2020-11-04,00:55,7768.259999999962,29.0
2020-11-04 01:00:00+0000,2020-11-04,01:00,5341.459999999927,27.0
2020-11-04 01:25:00+0000,2020-11-04,01:25,7632.159999999994,32.2
2020-11-04 02:20:00+0000,2020-11-04,02:20,9598.550000000032,39.2
2020-11-04 02:40:00+0000,2020-11-04,02:40,6761.859999999922,32.4
2020-11-04 02:50:00+0000,2020-11-04,02:50,4817.539999999976,30.8
2020-11-04 03:00:00+0000,2020-11-04,03:00,7887.3799999999455,25.1
2020-11-04 03:15:00+0000,2020-11-04,03:15,8052.279999999926,27.5
2020-11-04 12:40:00+0000,2020-11-04,12:40,4324.190000000013,25.3
2020-11-05 23:45:00+0000,2020-11-05,23:45,1313.189999999996,30.8
2020-11-05 23:50:00+0000,2020-11-05,23:50,4307.719999999994,32.8
2020-11-09 15:35:00+0000,2020-11-09,15:35,6765.680000000001,28.8
2020-11-10 14:25:00+0000,2020-11-10,14:25,3334.980000000003,25.1
2020-12-10 12:45:00+0000,2020-12-10,12:45,4750.559999999981,30.0
2020-12-15 12:55:00+0000,2020-12-15,12:55,2619.0099999999934,26.4
2020-12-16 08:30:00+0000,2020-12-16,08:30,2661.2100000000023,36.1
2020-12-16 19:00:00+0000,2020-12-16,19:00,3292.259999999983,25.4
2020-12-16 19:15:00+0000,2020-12-16,19:15,2437.97,29.0
2021-01-06 00:50:00+0000,2021-01-06,00:50,2906.8900000000076,28.9
2021-01-08 16:15:00+0000,2021-01-08,16:15,2638.339999999995,25.8
2021-01-14 18:20:00+0000,2021-01-14,18:20,2110.2300000000037,25.5
2021-02-02 10:15:00+0000,2021-02-02,10:15,2982.7600000000207,25.9
2021-03-05 13:30:00+0000,2021-03-05,13:30,5681.179999999955,42.0
2021-03-11 13:10:00+0000,2021-03-11,13:10,2327.68,25.2
2021-03-17 18:00:00+0000,2021-03-17,18:00,4342.039999999965,52.6
2021-04-13 12:30:00+0000,2021-04-13,12:30,2092.370000000003,25.9
2021-04-28 18:00:00+0000,2021-04-28,18:00,2929.6200000000317,28.7
2021-04-30 14:50:00+0000,2021-04-30,14:50,1907.7599999999948,30.7
2021-05-04 15:10:00+0000,2021-05-04,15:10,3281.9099999999985,34.1
2021-05-07 12:30:00+0000,2021-05-07,12:30,6565.509999999975,72.8
2021-05-12 12:30:00+0000,2021-05-12,12:30,5079.249999999982,49.4
2021-05-12 12:50:00+0000,2021-05-12,12:50,2162.159999999992,36.0
2021-06-04 12:30:00+0000,2021-06-04,12:30,7439.689999999936,43.1
2021-06-10 12:30:00+0000,2021-06-10,12:30,6388.899999999936,28.6
2021-06-16 18:00:00+0000,2021-06-16,18:00,4676.879999999972,62.9
2021-07-02 12:30:00+0000,2021-07-02,12:30,5005.829999999972,42.4
2021-07-13 12:30:00+0000,2021-07-13,12:30,5105.729999999972,41.7
2021-07-22 11:45:00+0000,2021-07-22,11:45,3591.5500000000043,28.2
2021-07-28 18:00:00+0000,2021-07-28,18:00,4337.539999999975,40.7
2021-07-28 18:35:00+0000,2021-07-28,18:35,2516.829999999995,29.5
2021-08-04 14:00:00+0000,2021-08-04,14:00,2040.5799999999963,29.9
2021-08-06 12:30:00+0000,2021-08-06,12:30,5399.569999999934,26.6
2021-08-18 18:00:00+0000,2021-08-18,18:00,2125.359999999993,43.5
2021-08-27 14:00:00+0000,2021-08-27,14:00,6064.779999999931,49.1
2021-09-03 12:30:00+0000,2021-09-03,12:30,3580.789999999987,38.1
2021-09-03 12:35:00+0000,2021-09-03,12:35,3565.8999999999805,25.5
2021-09-14 12:30:00+0000,2021-09-14,12:30,2868.509999999985,29.9
2021-09-22 18:00:00+0000,2021-09-22,18:00,2905.889999999945,41.9
2021-09-22 18:35:00+0000,2021-09-22,18:35,2782.4899999999852,38.6
2021-10-28 12:40:00+0000,2021-10-28,12:40,2053.259999999989,30.6
2021-11-03 18:00:00+0000,2021-11-03,18:00,4148.819999999999,33.5
2021-11-15 17:20:00+0000,2021-11-15,17:20,876.8500000000029,28.6
2021-11-17 03:40:00+0000,2021-11-17,03:40,1997.44,45.6
2021-11-22 14:45:00+0000,2021-11-22,14:45,1090.1899999999994,26.0
2021-11-30 15:35:00+0000,2021-11-30,15:35,2820.840000000004,34.8
2021-11-30 15:50:00+0000,2021-11-30,15:50,4006.41,49.4
2021-11-30 15:55:00+0000,2021-11-30,15:55,3410.029999999997,38.6
2021-11-30 16:00:00+0000,2021-11-30,16:00,3013.4899999999934,33.4
2021-12-01 07:55:00+0000,2021-12-01,07:55,1514.2799999999943,25.6
2021-12-03 13:30:00+0000,2021-12-03,13:30,4852.05999999997,42.5
2021-12-10 13:30:00+0000,2021-12-10,13:30,2966.5799999999685,41.9
2021-12-15 19:00:00+0000,2021-12-15,19:00,3591.894999999998,37.5
2021-12-16 12:45:00+0000,2021-12-16,12:45,1737.2799999999863,27.2
2022-01-07 13:30:00+0000,2022-01-07,13:30,3608.319999999977,26.0
2022-01-12 13:35:00+0000,2022-01-12,13:35,1752.469999999994,25.2
2022-02-03 12:45:00+0000,2022-02-03,12:45,2453.580000000047,28.7
2022-02-03 13:40:00+0000,2022-02-03,13:40,3160.8100000000877,35.8
2022-02-03 13:45:00+0000,2022-02-03,13:45,3586.010000000089,26.6
2022-02-03 14:00:00+0000,2022-02-03,14:00,2506.9900000000725,35.9
2022-02-03 14:05:00+0000,2022-02-03,14:05,3063.300000000078,25.5
2022-02-04 13:30:00+0000,2022-02-04,13:30,3776.390000000088,30.1
2022-02-10 13:30:00+0000,2022-02-10,13:30,3676.640000000123,47.7
2022-02-10 13:35:00+0000,2022-02-10,13:35,2941.840000000083,27.1
2022-02-10 15:30:00+0000,2022-02-10,15:30,2194.7600000000016,26.7
2022-02-10 17:45:00+0000,2022-02-10,17:45,3145.820000000098,29.7
2022-02-11 18:35:00+0000,2022-02-11,18:35,2266.0000000000214,28.9
2022-02-11 18:55:00+0000,2022-02-11,18:55,3511.5500000000884,25.0
2022-02-14 12:35:00+0000,2022-02-14,12:35,1089.0999999999958,26.1
2022-02-17 03:55:00+0000,2022-02-17,03:55,3106.4000000000387,37.5
2022-02-17 04:10:00+0000,2022-02-17,04:10,2078.6099999999974,29.4
2022-02-17 08:25:00+0000,2022-02-17,08:25,2703.5200000000186,30.9
2022-02-24 16:05:00+0000,2022-02-24,16:05,1792.2700000000314,25.7
2022-02-24 17:25:00+0000,2022-02-24,17:25,791.0799999999964,27.5
2022-02-25 12:50:00+0000,2022-02-25,12:50,3462.9700000000366,31.7
2022-02-28 10:55:00+0000,2022-02-28,10:55,2453.190000000038,31.7
2022-03-02 09:30:00+0000,2022-03-02,09:30,3110.730000000037,28.5
2022-03-02 16:30:00+0000,2022-03-02,16:30,2662.3300000000286,55.9
2022-03-03 17:30:00+0000,2022-03-03,17:30,1812.8900000000076,30.3
2022-03-04 13:35:00+0000,2022-03-04,13:35,2114.460000000027,25.1
2022-03-06 23:00:00+0000,2022-03-06,23:00,1625.0300000000082,34.5
2022-03-07 03:25:00+0000,2022-03-07,03:25,1507.669999999999,29.8
2022-03-07 12:30:00+0000,2022-03-07,12:30,2184.460000000008,27.3
2022-03-07 12:40:00+0000,2022-03-07,12:40,2996.3200000000093,25.1
2022-03-08 08:10:00+0000,2022-03-08,08:10,4336.489999999977,49.6
2022-03-08 15:15:00+0000,2022-03-08,15:15,2179.8000000000197,31.6
2022-03-08 17:15:00+0000,2022-03-08,17:15,2012.8500000000352,33.1
2022-03-08 17:25:00+0000,2022-03-08,17:25,1262.9600000000069,29.0
2022-03-09 14:05:00+0000,2022-03-09,14:05,2259.970000000015,45.5
2022-03-10 09:00:00+0000,2022-03-10,09:00,4161.280000000013,47.5
2022-03-10 09:50:00+0000,2022-03-10,09:50,1817.9800000000096,28.4
2022-03-10 09:55:00+0000,2022-03-10,09:55,3677.369999999953,28.6
2022-03-10 12:45:00+0000,2022-03-10,12:45,5044.84999999997,75.2
2022-03-10 12:50:00+0000,2022-03-10,12:50,4456.700000000014,28.1
2022-03-10 13:35:00+0000,2022-03-10,13:35,3286.350000000039,26.5
2022-03-10 13:40:00+0000,2022-03-10,13:40,2724.0000000000173,34.4
2022-03-11 11:20:00+0000,2022-03-11,11:20,1634.720000000001,36.3
2022-03-11 11:25:00+0000,2022-03-11,11:25,3732.670000000064,35.1
2022-03-15 07:20:00+0000,2022-03-15,07:20,4393.030000000015,43.4
2022-03-16 08:15:00+0000,2022-03-16,08:15,1875.2300000000116,32.6
2022-03-16 10:10:00+0000,2022-03-16,10:10,2421.290000000011,26.7
2022-03-16 14:10:00+0000,2022-03-16,14:10,1465.2600000000048,32.3
2022-03-16 14:40:00+0000,2022-03-16,14:40,2583.6000000000467,35.2
2022-03-16 18:00:00+0000,2022-03-16,18:00,5383.009999999991,42.9
2022-03-17 10:00:00+0000,2022-03-17,10:00,3258.5500000000416,31.4
